"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"30",1621,301576,13442,51,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Conifer",112,NA,NA,112,100,NA,NA,"IV-B",135,200,114,0.529411765,0.784313725,0.447058824,67069,0.2
"31",1631,311708,14120,51,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,69322,0.2
"32",1633,405450,14440,51,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588235,0.270588235,0.611764706,90170,0.2
"33",1965,391376,13100,52,"13100_52","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196078,0.639215686,0.870588235,87040,0.2
"34",1583,218888,14810,50,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,NA,NA,989,100,NA,NA,"V-B",232,189,255,0.909803922,0.741176471,1,48680,0.1
"35",1597,127891,13652,41,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,NA,516,55,45,NA,"V-B",110,137,70,0.431372549,0.537254902,0.274509804,28442,0.1
"36",1640,200105,14920,51,"14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431373,0.960784314,0.792156863,44502,0.1
"37",1969,223372,13950,52,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921568627,0.690196078,49677,0.1
"38",2017,126139,13100,49,"13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196078,0.639215686,0.870588235,28053,0.1
"39",2029,86902,14210,49,"14210_49_52","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909803922,1,0.768627451,19327,0.1
"40",2726,104191,13622,50,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,NA,40,34,15,NA,85,"I-C",255,167,127,1,0.654901961,0.498039216,23172,0.1
"41",-9999,4880,-9999,NA,NA,"NoData","NoData",NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1,1,1,1085,0
"42",31,67999,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,15123,0
"43",1563,336,13100,50,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",123,49,76,24,20,48,32,"I-C",176,163,222,0.690196078,0.639215686,0.870588235,75,0
"44",1568,6802,13651,50,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,NA,213,85,15,NA,"V-A",147,194,114,0.576470588,0.760784314,0.447058824,1513,0
"45",1569,11671,13660,50,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",483,1018,291,154,32,15,53,"III-B",208,255,99,0.815686275,1,0.388235294,2596,0
"46",1570,31,13940,50,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,7,0
"47",1573,4076,14072,50,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258823529,0.392156863,906,0
"48",1575,1850,14120,50,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,411,0
"49",1576,5070,14210,50,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909803922,1,0.768627451,1128,0
