year,acres
1984,2268
1985,1412
1986,7666
1987,6890
1988,2624
1990,7645
1994,5708
1995,3912
1996,658
1998,3313
1999,4965
2000,5266
2003,800
2004,1977
2005,2109
2006,11782
2007,20424
2008,2837
2009,4705
2010,9756
2011,2757
2012,22359
2014,3759
2015,4386
2016,4541
2017,3761
2018,5729
2019,7943
2021,10107
2022,2554
